"year";"canton";"value";"parameter";"forest_owner";"source"
"1930";"Aargau";"37431,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Appenzell Ausserrhoden";"1207,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Appenzell Innerrhoden";"1369,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Basel-Landschaft";"10906,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Basel-Stadt";"664,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Bern";"102016,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Fribourg";"20390,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Genève";"113,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Glarus";"9245,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Graubünden";"113585,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Luzern";"8846,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Neuchâtel";"14247,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Nidwalden";"5023,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Obwalden";"14414,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Schaffhausen";"10364,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Schwyz";"14401,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"Solothurn";"22878,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
"1930";"St. Gallen";"25541,000000000000";"forest: area";"public";"Statistisches Jahrbuch der Schweiz 1931 (see https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen/uebersichtsdarstellungen/statistisches-jahrbuch.html)"
