taxonKey,species_std
4456178,Salpingus planirostris
10480031,Rutpela maculata
4450696,Endomychus coccineus
8843472,Pyrochroa serraticornis
7649338,Saperda scalaris
1119292,Morimus asper
4459546,Chlorophorus varius
6097811,Stenopterus rufus
1085188,Trichius fasciatus
4431622,Anthaxia hungarica
8796936,Stenurella bifasciata
7538141,Chlorophorus figuratus
7620908,Buprestis rustica
4458867,Pseudovadonia livida
5744560,Dicerca alni
1096909,Anastrangalia sanguinolenta
7569075,Rosalia alpina
4431801,Anthaxia fulgurans
4458543,Chrysanthia viridissima
5743122,Lucanus cervus
5751237,Pyrochroa coccinea
1077829,Cetonia aurata
4429476,Ampedus pomorum aggr.
4431645,Anthaxia godeti
8411684,Monochamus sutor
8144310,Buprestis octoguttata
4429424,Ampedus balteatus
1082966,Valgus hemipterus
5750461,Diaperis boleti
4459342,Exocentrus punctipennis
1224474,Hylastes linearis
4432706,Agrilus laticornis
4426607,Ptinus bidens
7342994,Ptosima undecimmaculata
4431220,Acmaeoderella flavofasciata
4458870,Alosterna tabacicolor
4458844,Stictoleptura cordigera
4458574,Nacerdes carniolica
6963140,Temnoscheila caerulea
5001643,Aromia moschata
7994366,Clytus arietis
7667793,Anaspis maculata
4432662,Agrilus integerrimus
4432773,Agrilus cyanescens
4429150,Cardiophorus rufipes
5750901,Anaspis pulicaria
4448819,Thanasimus formicarius
8522427,Mesosa nebulosa
4458797,Grammoptera ruficornis
5750870,Anaspis regimbarti
4431813,Anthaxia nitidula
4453257,Placonotus testaceus
5748831,Rhizophagus depressus
4432513,Meliboeus fulgidicollis
5743112,Dorcus parallelipipedus
4429472,Ampedus elongatulus
1096678,Oberea pupillata
5744320,Microrhagus emyi
4453803,Diaclina fagi
1205228,Platypus cylindrus
4427549,Scobicia chevrieri
1161742,Deilus fugax
4455082,Gonodera luperus
8966182,Stictoleptura rubra
8016249,Ergates faber
7972201,Chlorophorus sartor
5750918,Anaspis fasciata
1045205,Bitoma crenata
5743466,Bostrichus capucinus
4458913,Anaesthetis testacea
4431858,Anthaxia manca
1128491,Grammoptera ustulata
4459517,Phymatodes rufipes
8062758,Monochamus galloprovincialis
4458448,Ischnomera cyanea
5750027,Helops caeruleus
4454081,Nalassus dryadophilus
4458755,Litargus connexus
4427406,Ctesias serra
1154563,Parmena balteus
4458474,Oedemera femoralis
7659055,Plagionotus arcuatus
1146023,Aegosoma scabricorne
4432745,Agrilus olivicolor
4453218,Laemophloeus monilis
5819538,Leiopus nebulosus aggr.
5019591,Xyleborus monographus
4430299,Malthinus flaveolus
4429432,Ampedus sanguineus
8961343,Phymatodes testaceus
4428338,Lygistopterus sanguineus
1189484,Scolytus rugulosus
4456959,Synchita undata
1047210,Aderus populneus
4459519,Poecilium alni
5744362,Chrysobothris affinis
4431678,Anthaxia sepulchralis
8779452,Stenurella nigra
4429442,Ampedus praeustus
6975673,Melanotus crassicollis
4430365,Malthinus seriepunctatus
4458610,Anogcodes rufiventris
4455097,Hymenalia rufipes
4459502,Obrium cantharinum
5748555,Tritoma bipustulata
4448875,Tilloidea unifasciata
4432616,Agrilus viridis
4429483,Ampedus quercicola
5820507,Cerambyx cerdo
8548948,Rhagium sycophanta
1242934,Dryocoetes villosus
1143384,Pyrrhidium sanguineum
8544630,Rhagium inquisitor
4431768,Anthaxia candens
4455263,Platydema violacea
6269922,Glaphyra umbellatarum
1189289,Scolytus multistriatus
8705902,Tetrops praeustus
4450024,Aplocnemus virens
4458893,Anoplodera rufipes
4453609,Conopalpus brevicollis
8111934,Rusticoclytus rusticus
6993114,Uleiota planatus
5750812,Anaspis flava
4892026,Pseudovadonia livida
4432673,Agrilus angustulus
1143990,Stictoleptura fulva
5003411,Aegomorphus clavipes
8707896,Pogonocherus hispidus
1129494,Dinoptera collaris
4430641,Malthodes flavoguttatus
8401448,Buprestis novemmaculata
5750884,Anaspis lurida
4431917,Anthaxia cichorii
4424856,Trichius gallicus
4458433,Ischnomera caerulea
1134213,Exocentrus adspersus
8583922,Stenurella melanura
1201568,Xylocleptes bispinus
1044348,Oxylaemus cylindricus
1043938,Silvanus unidentatus
8284747,Oberea linearis
5743454,Xylopertha retusa
4427052,Taphrorychus bicolor
5750822,Anaspis varians
1111924,Chlorophorus glabromaculatus
4429144,Cardiophorus ruficollis
4429450,Ampedus nigrinus aggr.
6975566,Melanotus castanipes
1144307,Cortodera femorata
7859738,Oxymirus cursor
4449948,Dasytes plumbeus
5007631,Dictyoptera aurora
1211257,Tomicus piniperda
1214678,Hylurgops palliatus
5750831,Anaspis brunnipes
1231274,Crypturgus cinereus
9128025,Rhagium mordax
1244656,Trypodendron lineatum
4458546,Chrysanthia geniculata
4468670,Pityophthorus pityographus
1237428,Pityogenes chalcographus
1189156,Polygraphus poligraphus
1034608,Elateroides dermestoides
4458628,Schizotus pectinicornis
4454308,Scaphidema metallica
5878832,Melanotus villosus
4450526,Triplax russica
4450482,Dacne bipustulata
4468550,Xyleborinus saxesenii
7727762,Megatoma undata
5750877,Anaspis frontalis
5875701,Stictoleptura rubra
5743100,Platycerus caraboides
5748844,Rhizophagus dispar
4450802,Hylesinus varius
4433178,Paromalus parallelepipedus
5018723,Ips typographus
4456399,Orthocis alni
4455173,Corticeus unicolor
4458709,Mycetophagus atomarius
4430270,Malthinus balteatus
4456865,Colydium elongatum
1217397,Orthotomicus laricis
4458788,Rhamnusium bicolor
4453580,Orchesia micans
8571136,Molorchus minor
4452094,Cerylon histeroides
6097720,Malthinus flaveolus
5743105,Platycerus caprea
4456433,Cis glabratus
5750811,Anaspis rufilabris
4452097,Cerylon ferrugineum
6958250,Cis festivus
4458681,Anidorus nigrinus
1144021,Stictoleptura maculicornis aggr.
4449906,Dasytes niger
5750351,Pseudocistela ceramboides
1096921,Anastrangalia reyi
4433570,Plegaderus caesus
1244634,Trypodendron domesticum
10595482,Acanthocinus aedilis
7414565,Aspidiphorus orbiculatus
11241846,Melanotus villosus
4292492,Arhopalus rusticus
7887483,Prionus coriarius
7704804,Spondylis buprestoides
8216670,Strangalia attenuata
4427343,Globicornis corticalis
1224467,Hylastes ater
1126665,Callidium violaceum
1211184,Tomicus minor
9774834,Anaspis thoracica
