five_km2_ID,zone,biogeo12,height
2485000 / 1105000,Plateau,Genferseegebiet,369
2485000 / 1110000,Plateau,Genferseegebiet,391
2485000 / 1115000,Plateau,Genferseegebiet,431
2485000 / 1120000,Plateau,Genferseegebiet,427
2490000 / 1110000,Plateau,Genferseegebiet,439
2490000 / 1115000,Plateau,Genferseegebiet,409
2490000 / 1120000,Plateau,Genferseegebiet,441
2490000 / 1140000,Jura,Jura und Randen,1309
2495000 / 1110000,Plateau,Genferseegebiet,433
2495000 / 1115000,Plateau,Genferseegebiet,407
2495000 / 1120000,Plateau,Genferseegebiet,428
2495000 / 1125000,Plateau,Genferseegebiet,445
2495000 / 1130000,Plateau,Genferseegebiet,469
2495000 / 1135000,Jura,Jura und Randen,862
2495000 / 1140000,Jura,Jura und Randen,1330
2495000 / 1145000,Jura,Jura und Randen,1316
2495000 / 1150000,Jura,Jura und Randen,1305
2495000 / 1155000,Jura,Jura und Randen,1280
2495000 / 1160000,Jura,Jura und Randen,1328
2500000 / 1110000,Plateau,Genferseegebiet,423
2500000 / 1115000,Plateau,Genferseegebiet,408
2500000 / 1120000,Plateau,Genferseegebiet,387
2500000 / 1125000,Plateau,Genferseegebiet,394
2500000 / 1130000,Plateau,Genferseegebiet,436
2500000 / 1135000,Plateau,Genferseegebiet,497
2500000 / 1140000,Jura,Jura und Randen,773
2500000 / 1145000,Jura,Jura und Randen,1189
2500000 / 1150000,Jura,Jura und Randen,1375
2500000 / 1155000,Jura,Jura und Randen,1185
2500000 / 1160000,Jura,Jura und Randen,1253
2500000 / 1165000,Jura,Jura und Randen,1374
2505000 / 1115000,Plateau,Genferseegebiet,440
2505000 / 1120000,Plateau,Genferseegebiet,441
2505000 / 1125000,Plateau,Genferseegebiet,382
2505000 / 1130000,Plateau,Genferseegebiet,373
2505000 / 1135000,Plateau,Genferseegebiet,404
2505000 / 1140000,Plateau,Genferseegebiet,502
2505000 / 1145000,Jura,Jura und Randen,816
2505000 / 1150000,Jura,Jura und Randen,1215
2505000 / 1155000,Jura,Jura und Randen,1321
2505000 / 1160000,Jura,Jura und Randen,1121
2505000 / 1165000,Jura,Jura und Randen,1226
2510000 / 1115000,Plateau,Genferseegebiet,497
2510000 / 1120000,Plateau,Genferseegebiet,488
2510000 / 1135000,Plateau,Genferseegebiet,373
2510000 / 1140000,Plateau,Genferseegebiet,397
2510000 / 1145000,Plateau,Genferseegebiet,675
2510000 / 1150000,Jura,Jura und Randen,829
2510000 / 1155000,Jura,Jura und Randen,1300
2510000 / 1160000,Jura,Jura und Randen,1363
2510000 / 1165000,Jura,Jura und Randen,1089
2510000 / 1170000,Jura,Jura und Randen,1161
2515000 / 1135000,Plateau,Genferseegebiet,372
2515000 / 1140000,Plateau,Genferseegebiet,372
2515000 / 1145000,Plateau,Genferseegebiet,476
2515000 / 1150000,Plateau,Genferseegebiet,646
2515000 / 1155000,Jura,Jura und Randen,769
2515000 / 1160000,Jura,Jura und Randen,1053
2515000 / 1165000,Jura,Jura und Randen,1151
2515000 / 1170000,Jura,Jura und Randen,1031
2515000 / 1175000,Jura,Jura und Randen,944
2520000 / 1140000,Plateau,Genferseegebiet,372
2520000 / 1145000,Plateau,Genferseegebiet,404
2520000 / 1150000,Plateau,Genferseegebiet,535
2520000 / 1155000,Plateau,Genferseegebiet,629
2520000 / 1160000,Jura,Jura und Randen,646
2520000 / 1165000,Jura,Jura und Randen,829
2520000 / 1170000,Jura,Jura und Randen,943
2520000 / 1175000,Jura,Jura und Randen,995
2520000 / 1180000,Jura,Jura und Randen,1192
2520000 / 1185000,Jura,Jura und Randen,1102
2520000 / 1195000,Jura,Jura und Randen,1146
2525000 / 1140000,Plateau,Genferseegebiet,372
2525000 / 1145000,Plateau,Genferseegebiet,373
2525000 / 1150000,Plateau,Genferseegebiet,430
2525000 / 1155000,Plateau,Genferseegebiet,499
2525000 / 1160000,Plateau,Genferseegebiet,555
2525000 / 1165000,Plateau,Genferseegebiet,562
2525000 / 1170000,Jura,Jura und Randen,622
2525000 / 1175000,Jura,Jura und Randen,698
2525000 / 1180000,Jura,Jura und Randen,1103
2525000 / 1185000,Jura,Jura und Randen,1123
2525000 / 1190000,Jura,Jura und Randen,1105
2525000 / 1195000,Jura,Jura und Randen,1085
2525000 / 1200000,Jura,Jura und Randen,1155
2530000 / 1145000,Plateau,Genferseegebiet,372
2530000 / 1150000,Plateau,Genferseegebiet,395
2530000 / 1155000,Plateau,Genferseegebiet,479
2530000 / 1160000,Plateau,Genferseegebiet,535
2530000 / 1165000,Plateau,Westliches Mittelland,519
2530000 / 1170000,Plateau,Westliches Mittelland,467
2530000 / 1175000,Plateau,Westliches Mittelland,459
2530000 / 1180000,Plateau,Westliches Mittelland,596
2530000 / 1185000,Jura,Jura und Randen,1113
2530000 / 1190000,Jura,Jura und Randen,1121
2530000 / 1195000,Jura,Jura und Randen,1067
