PROJET,focal_species
P_042,Muschampia floccifera
P_048,Phengaris nausithous
P_118,Phengaris alcon
P_123,Satyrium ilicis
P_140,Coenonympha tullia
P_279,Melitaea deione
P_333,Vanessa atalanta
P_379,Phengaris alcon
P_421,Phengaris nausithous
P_431,Zygaena trifolii
P_456,Coenonympha tullia
P_464,Phengaris nausithous | Phengaris teleius
P_465,Phengaris alcon
P_507,Lopinga achine
P_510,Apatura ilia
P_516,Satyrium ilicis
P_518,Lopinga achine
P_581,Phengaris nausithous
P_607,Satyrium pruni
P_612,Phengaris nausithous
P_615,Satyrium pruni
P_630,Satyrium pruni
P_655,Zygaena viciae
