Name_std,Tax_group,five_km2_ID,two_A,MET_SMRY,MUS,visit_ID,LEG,PROJET
Ptinomorphus imperialis,Bostrichoidea,2565000 / 1105000,2010,"","",V_025266,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2715000 / 1080000,2010,"","",V_080395,O_0847,P_090
Ptinomorphus imperialis,Bostrichoidea,2755000 / 1185000,2008,"",Yes,V_090612,O_2394,P_079
Ptinomorphus imperialis,Bostrichoidea,2555000 / 1140000,1944,"",Yes,V_020455,O_0869,P_079
Ptinomorphus imperialis,Bostrichoidea,2565000 / 1110000,2016,Flight,"",V_025435,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2575000 / 1110000,2016,Flight,"",V_032314,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2575000 / 1110000,2016,Flight,"",V_032246,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2580000 / 1180000,1992,"","",V_034855,O_6309,P_079
Ptinomorphus imperialis,Bostrichoidea,2580000 / 1180000,2002,"","",V_034848,O_6309,P_079
Ptinomorphus imperialis,Bostrichoidea,2730000 / 1275000,1978,"",Yes,V_087524,O_0696,P_079
Ptinomorphus imperialis,Bostrichoidea,2590000 / 1120000,2002,"","",V_037939,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2640000 / 1125000,2006,"","",V_058337,O_0847,P_090
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1125000,1950,"",Yes,V_029446,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1125000,1952,"",Yes,V_029348,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1125000,1952,"",Yes,V_029529,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1100000,2012,Flight,"",V_027884,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1105000,2012,Flight,"",V_028491,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2565000 / 1110000,2012,Flight,"",V_025457,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2565000 / 1110000,2012,Flight,"",V_025379,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2565000 / 1110000,2012,Flight,"",V_025453,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2485000 / 1115000,2012,Flight,"",V_000670,O_6443,P_101
Ptinomorphus imperialis,Bostrichoidea,2485000 / 1120000,2012,Flight,"",V_001421,O_6443,P_101
Ptinomorphus imperialis,Bostrichoidea,2660000 / 1245000,2012,"",Yes,V_063173,O_2291,P_090
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1140000,2014,"","",V_010368,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2490000 / 1115000,1986,"",Yes,V_002302,O_3093,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1120000,1992,Other traps,Yes,V_009062,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1120000,1988,"",Yes,V_008666,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1105000,1990,Other traps,Yes,V_028831,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1115000,1990,Other traps,Yes,V_008495,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2500000 / 1140000,2014,Flight,"",V_007831,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1140000,2014,Flight,"",V_009911,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1140000,2014,Flight,"",V_010272,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1140000,2014,Flight,"",V_010089,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2505000 / 1140000,2014,Flight,"",V_009889,O_2497,P_079
Ptinomorphus imperialis,Bostrichoidea,2485000 / 1115000,1958,"",Yes,V_001202,O_6571,P_079
Ptinomorphus imperialis,Bostrichoidea,2560000 / 1130000,1960,"",Yes,V_022398,O_5393,P_079
Ptinomorphus imperialis,Bostrichoidea,2665000 / 1255000,1944,"",Yes,V_064018,O_7392,P_079
Ptinomorphus imperialis,Bostrichoidea,2700000 / 1145000,1984,"",Yes,V_074341,O_7392,P_079
Ptinomorphus imperialis,Bostrichoidea,2530000 / 1170000,1976,"",Yes,V_015028,O_7392,P_079
Ptinomorphus imperialis,Bostrichoidea,2500000 / 1125000,1962,"",Yes,V_006131,O_3093,P_079
Ptinomorphus imperialis,Bostrichoidea,2495000 / 1130000,1974,"",Yes,V_004555,O_5323,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1110000,2014,Flight,"",V_029109,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2595000 / 1120000,2014,Flight,"",V_039609,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2585000 / 1115000,2014,Flight,"",V_035814,O_5659,P_079
Ptinomorphus imperialis,Bostrichoidea,2740000 / 1270000,1962,"",Yes,V_088697,O_4539,P_079
Ptinomorphus imperialis,Bostrichoidea,2525000 / 1175000,2016,Flight,"",V_013772,O_0847,P_079
Ptinomorphus imperialis,Bostrichoidea,2570000 / 1110000,2016,Flight,"",V_029008,O_0847,P_079
