Name_std,size_cat,stenotopy,food_spec,Tniche,voltinism,hibernation
Adscita alpina,small,stenotopic,monophagous,cold,1,larva
Adscita dujardini,small,stenotopic,monophagous,intermediate,1,larva
Adscita geryon,small,oligotopic,monophagous,intermediate,1,larva
Adscita mannii,small,stenotopic,monophagous,,1,larva
Adscita statices,small,oligotopic,monophagous,intermediate,1,larva
Aglais io,large,eurytopic,monophagous,intermediate,2,adult
Aglais urticae,medium,eurytopic,monophagous,intermediate,2,adult
Agriades glandon,small,oligotopic,monophagous,cold,1,larva
Agriades optilete,small,stenotopic,monophagous,cold,1,larva
Agriades orbitulus,small,oligotopic,oligophagous,cold,1,larva
Anthocharis cardamines,medium,oligotopic,oligophagous,intermediate,1,pupa
Apatura ilia,large,oligotopic,monophagous,warm,2,larva
Apatura iris,large,oligotopic,oligophagous,intermediate,1,larva
Aphantopus hyperantus,medium,oligotopic,oligophagous,intermediate,1,larva
Aporia crataegi,large,oligotopic,oligophagous,intermediate,1,larva
Araschnia levana,medium,oligotopic,monophagous,intermediate,2,pupa
Argynnis paphia,large,eurytopic,monophagous,intermediate,1,larva
Aricia agestis,small,oligotopic,polyphagous,warm,2,larva
Aricia artaxerxes,small,oligotopic,polyphagous,cold,1,larva
Aricia eumedon,small,oligotopic,monophagous,cold,1,larva
Aricia nicias,small,oligotopic,monophagous,cold,1,larva
Boloria aquilonaris,medium,stenotopic,monophagous,cold,1,larva
Boloria dia,medium,oligotopic,monophagous,warm,2,larva
Boloria euphrosyne,medium,eurytopic,monophagous,intermediate,1,larva
Boloria napaea,medium,oligotopic,polyphagous,cold,1,larva
Boloria pales,medium,oligotopic,polyphagous,intermediate,1,larva
Boloria selene,medium,oligotopic,monophagous,intermediate,2,larva
Boloria thore,medium,stenotopic,monophagous,cold,0.5,larva
Boloria titania,medium,oligotopic,monophagous,intermediate,1,larva
Brenthis daphne,medium,stenotopic,monophagous,warm,1,egg
Brenthis ino,medium,oligotopic,oligophagous,intermediate,1,egg
Brintesia circe,large,stenotopic,oligophagous,warm,1,larva
Callophrys rubi,small,oligotopic,polyphagous,intermediate,1,pupa
Carcharodus alceae,small,oligotopic,oligophagous,warm,3,larva
Carterocephalus palaemon,small,oligotopic,oligophagous,intermediate,1,larva
Celastrina argiolus,small,oligotopic,polyphagous,intermediate,2,pupa
Chazara briseis,large,stenotopic,oligophagous,warm,1,larva
Coenonympha arcania,medium,oligotopic,oligophagous,warm,1,larva
Coenonympha darwiniana,small,oligotopic,oligophagous,cold,1,larva
Coenonympha gardetta,small,oligotopic,oligophagous,intermediate,1,larva
Coenonympha glycerion,medium,oligotopic,oligophagous,intermediate,1,larva
Coenonympha oedippus,medium,stenotopic,oligophagous,,1,larva
Coenonympha pamphilus,medium,oligotopic,oligophagous,warm,3,larva
Coenonympha tullia,medium,stenotopic,oligophagous,intermediate,1,larva
Colias croceus,large,oligotopic,oligophagous,warm,3,larva
Colias hyale aggr.,medium,oligotopic,oligophagous,warm,3,larva
Colias palaeno,medium,oligotopic,monophagous,cold,1,larva
Colias phicomone,medium,oligotopic,oligophagous,intermediate,1,larva
Cupido alcetas,small,oligotopic,oligophagous,warm,2,larva
Cupido argiades,small,oligotopic,oligophagous,warm,2,larva
Cupido minimus,small,oligotopic,oligophagous,intermediate,1,larva
Cupido osiris,small,stenotopic,monophagous,warm,1,larva
Cyaniris semiargus,medium,oligotopic,oligophagous,intermediate,2,larva
Erebia aethiops,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia alberganus,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia arvernensis,medium,stenotopic,monophagous,intermediate,1,larva
Erebia bubastis,,oligotopic,oligophagous,cold,0.5,egg/larva
Erebia christi,medium,stenotopic,monophagous,,0.5,egg/larva
Erebia epiphron,small,oligotopic,monophagous,intermediate,0.5,larva
Erebia eriphyle,medium,stenotopic,oligophagous,cold,0.5,egg/larva
Erebia euryale,medium,oligotopic,oligophagous,intermediate,0.5,egg/larva
Erebia flavofasciata,small,stenotopic,monophagous,cold,0.5,larva
Erebia gorge,medium,stenotopic,oligophagous,intermediate,0.5,larva
Erebia ligea,medium,stenotopic,oligophagous,cold,0.5,egg/larva
Erebia manto,medium,oligotopic,oligophagous,intermediate,0.5,egg/larva
Erebia medusa,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia melampus,small,oligotopic,oligophagous,cold,1,larva
Erebia meolans,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia mnestra,medium,oligotopic,oligophagous,cold,0.5,larva
Erebia montanus,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia nivalis,small,stenotopic,monophagous,,0.5,larva
Erebia oeme,medium,oligotopic,oligophagous,intermediate,0.5,larva
Erebia pandrose,medium,stenotopic,oligophagous,cold,0.5,larva
Erebia pharte,small,oligotopic,oligophagous,cold,0.5,larva
Erebia pluto,medium,stenotopic,oligophagous,cold,0.5,larva
Erebia pronoe,medium,oligotopic,oligophagous,intermediate,1,larva
Erebia styx,medium,stenotopic,monophagous,intermediate,0.5,larva
Erebia sudetica,small,oligotopic,oligophagous,intermediate,1,larva
Erebia triarius,medium,oligotopic,monophagous,intermediate,1,larva
Erebia tyndarus,medium,stenotopic,oligophagous,cold,1,larva
Erynnis tages,small,oligotopic,oligophagous,warm,2,larva
Euchloe simplonia,medium,stenotopic,oligophagous,intermediate,1,pupa
Euphydryas aurinia,medium,oligotopic,polyphagous,warm,1,larva
Euphydryas cynthia,medium,stenotopic,polyphagous,cold,0.5,larva
Euphydryas intermedia,medium,stenotopic,monophagous,cold,0.5,larva
